number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_n_rnn_layers,state
148,0.14773444831371307,2025-05-15 15:32:10.749303,2025-05-15 15:34:44.145971,0 days 00:02:33.396668,16.0,0.5,160.0,0.001,1.0,COMPLETE
149,0.14773444831371307,2025-05-15 15:34:44.192962,2025-05-15 15:37:27.329813,0 days 00:02:43.136851,16.0,0.3,160.0,0.001,1.0,COMPLETE
150,0.150259867310524,2025-05-15 15:37:27.367564,2025-05-15 15:38:46.295524,0 days 00:01:18.927960,16.0,0.1,120.0,0.001,1.0,COMPLETE
151,0.14773444831371307,2025-05-15 15:38:46.329676,2025-05-15 15:41:17.226507,0 days 00:02:30.896831,16.0,0.2,160.0,0.001,1.0,COMPLETE
152,0.14773444831371307,2025-05-15 15:41:17.262246,2025-05-15 15:43:43.925730,0 days 00:02:26.663484,16.0,0.3,160.0,0.001,1.0,COMPLETE
153,0.1507081687450409,2025-05-15 15:43:43.960361,2025-05-15 15:45:33.989988,0 days 00:01:50.029627,64.0,0.5,160.0,0.0001,1.0,COMPLETE
154,0.14773444831371307,2025-05-15 15:45:34.023130,2025-05-15 15:47:58.932438,0 days 00:02:24.909308,16.0,0.3,160.0,0.001,1.0,COMPLETE
155,0.14773444831371307,2025-05-15 15:47:58.966109,2025-05-15 15:50:24.819572,0 days 00:02:25.853463,16.0,0.3,160.0,0.001,1.0,COMPLETE
156,0.14773444831371307,2025-05-15 15:50:24.857852,2025-05-15 15:52:39.335664,0 days 00:02:14.477812,16.0,0.3,160.0,0.001,1.0,COMPLETE
157,0.14773444831371307,2025-05-15 15:52:39.398338,2025-05-15 15:55:08.099821,0 days 00:02:28.701483,16.0,0.3,160.0,0.001,1.0,COMPLETE
158,0.14773444831371307,2025-05-15 15:55:08.143179,2025-05-15 15:57:16.949997,0 days 00:02:08.806818,16.0,0.4,160.0,0.001,1.0,COMPLETE
159,0.15012335777282715,2025-05-15 15:57:16.982592,2025-05-15 15:58:29.424522,0 days 00:01:12.441930,256.0,0.1,240.0,0.001,1.0,COMPLETE
160,0.1495385468006134,2025-05-15 15:58:29.465270,2025-05-15 16:00:27.222642,0 days 00:01:57.757372,16.0,0.3,10.0,0.001,1.0,COMPLETE
161,0.14773444831371307,2025-05-15 16:00:27.256273,2025-05-15 16:02:38.055604,0 days 00:02:10.799331,16.0,0.5,160.0,0.001,1.0,COMPLETE
162,0.15453340113162994,2025-05-15 16:02:38.088809,2025-05-15 16:04:24.393249,0 days 00:01:46.304440,16.0,0.1,80.0,0.001,3.0,COMPLETE
163,0.14773444831371307,2025-05-15 16:04:24.488935,2025-05-15 16:07:07.688090,0 days 00:02:43.199155,16.0,0.3,160.0,0.001,1.0,COMPLETE
